domain,subdomain,count,datasets,forms,count_basis
Clinical Medicine,Ent: Miscellaneous Ent,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Forensic Medicine: Asphyxial Deaths,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Gynaecology & Obstetrics: Polycystic Ovarian Syndrome,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Gynaecology & Obstetrics: Urogynecology,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Medicine: Bleeding From The Gut And Diseases Of Esophagus,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Medicine: Cerebrovascular,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Medicine: Inflammatory Bowel Disease,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Medicine: Peptic Ulcer Disease,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Medicine: Virology,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Ophthalmology: Disorders Of Conjunctiva,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Orthopaedics: Anatomy Of Bone & Fracture Healing,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Orthopaedics: Forearm Wrist And Hand Injuries,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Pathology: Basic Concepts And Vascular Changes Of Acute Inflammation,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Pathology: Rheumatic Fever,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Pharmacology: Miscellaneous,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Skin: Vesiculobullous ( Blistering) Disorders,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Surgery: Breast Cancer Types And Staging,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Surgery: Fluid & Electrolyte,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Surgery: Git,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Surgery: Inflammatory Bowel Disease,23,MedMCQA:23,MCQA:23,records:23
Clinical Medicine,Anaesthesia: Cardiopulmonary Cerebral Resuscitation,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Anatomy: Cardio Thoracic Surgery,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Anatomy: General Surgery,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Anatomy: Muscles Of Arm And Forearm Region & Cubital Fossa,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Anatomy: Sleep Disorders And Eating Disorders,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Biochemistry: Dna Replication,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Biochemistry: Tca Cycle,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Ent: Disease Of External Nose & Nasal Septum,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Forensic Medicine: Identification Medicolegal Aspects,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Forensic Medicine: Miscellaneous,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Forensic Medicine: Sexual Offences,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Forensic Medicine: Sexual Offenses And Dowry Death,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Gynaecology & Obstetrics: Ectopic Pregnancy ( Hello ! Where Are You ?),22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Gynaecology & Obstetrics: Endocrinology In Relation To Reproduction,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Gynaecology & Obstetrics: Gynaecological Diagnosis,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Gynaecology & Obstetrics: Malformation Of The Female Generative Organs,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Gynaecology & Obstetrics: Urinary Fistulas,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Medicine: Misc.,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Medicine: Valvular Hea Diseases,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Microbiology: General Microbiology Pa 2 And Pa 3 ( Sterilization And Bacterial Genetics),22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Ophthalmology: Errors Of Refraction,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Orthopaedics: Metabolic Bone Disease,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Pathology: Adrenal Gland,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Pathology: Chemical Mediators And Regulators Of Inflammation,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Pathology: Fmge 2019,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Pathology: Hemoglobinopathies: Sickle Cell Anemia,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Pathology: Neet 2019,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Pathology: Vasculitis,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Pediatrics: Disorders Of Carbohydrate Metabolism,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Pediatrics: Fluid And Electrolytes,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Pediatrics: Genetic Approach To Pediatric Medicine,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Pediatrics: Newborn Infant Physical Examination,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,"Physiology: Blood: Rb Cs, Anemia, And Polycythemia",22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Physiology: Respiratory System Pa 3,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Social & Preventive Medicine: Principles Of Immunization And Vaccination,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,"Surgery: Fluid, Electrolyte And Nutrition",22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Surgery: Gallstone Disease,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Surgery: Neet 2019,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Surgery: Neoplasia,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Surgery: Testis And Scrotum,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Surgery: Urethra And Penis,22,MedMCQA:22,MCQA:22,records:22
Clinical Medicine,Anaesthesia: Non Depolarising Neuromuscular Blocking Agents,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Anatomy: Introduction And Gametogenesis.,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Biochemistry: Basics Of Dna,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Biochemistry: Neet 2019,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Dental: Tumours Of Skin,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Forensic Medicine: Death And Medicolegal Aspects,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Gynaecology & Obstetrics: Complication Of 3 Rd Stage Of Labour,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Gynaecology & Obstetrics: Fetus & New Born And Their Diseases,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Medicine: Ecg And Arrhythmia 3,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Medicine: Rheumatoid Ahritis,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Medicine: Valvular Heart Disease,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Orthopaedics: Nerve Injuries 1,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Pathology: Thyroid Tumor,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Pediatrics: Cyanotic Congenital Heart Disease,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Pediatrics: Fluid & Electrolyte,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Pediatrics: Growth,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Pharmacology: Anti Adrenergic System,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Pharmacology: Anti Parasitic Drugs,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Pharmacology: Prostaglandins,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Physiology: Cell Physiology And Intercellular Connections,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Physiology: Conducting System Of Hea,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,"Radiology: Brain Imaging: Anatomy, Trauma, And Tumors",21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Skin: Skin Cancer,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Social & Preventive Medicine: Biostats,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Social & Preventive Medicine: Concept Of Control,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Social & Preventive Medicine: Pediatrics,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Surgery: Bile Duct,21,MedMCQA:21,MCQA:21,records:21
Clinical Medicine,Anaesthesia: Anaesthesia For Special Situations,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Anaesthesia: Breathing Systems,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Anatomy: Nerve Supply Of Lower Limb,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,"Anatomy: Neuroanatomy, Head And Neck",20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Anatomy: Pericardium & Heart,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Anatomy: Surfaces And Grooves,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Biochemistry: Biosynthesis Of Fatty Acids And Eicosanoids,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Ent: Epistaxis,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Gynaecology & Obstetrics: Multiple Pregnancy,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Gynaecology & Obstetrics: Pregnancy Induced Hypeension,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Medicine: Cirrhosis,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Medicine: Fmge 2018,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Medicine: Raised Icp And Brain Death,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Microbiology: Culture Media And Method,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,"Orthopaedics: Injuries To The Leg, Ankle & Foot",20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Orthopaedics: Skeletal Infections,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Pathology: Iron Deficiency Anemia,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,"Pathology: Pediatrics, Environment And Nutrition",20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Pediatrics: Adolescence,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Pediatrics: Nephritic & Nephrotic Syndrome,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Pharmacology: Anti Histaminics,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Pharmacology: Anti Hypertensive,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Pharmacology: Neet Jan 2020,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Physiology: Blood: Hemostasis And Blood Coagulation,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Physiology: Respiratory System Pa 2,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,"Physiology: Thalamus, Hypothalamus And Basal Ganglia",20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Physiology: Transpo Processes,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Psychiatry: Major Depression,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Radiology: Imaging Of Interstitial Lung Disease,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Radiology: Physics Of Radiotherapy,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Skin: Dermatitis Erythema,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Social & Preventive Medicine: Indicators Of Health,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,"Social & Preventive Medicine: Nc Ds: Chd, Htn, Dm, Rf, Cancers, Obesity, Blindness",20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Social & Preventive Medicine: Other Key Definitions & Concepts,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Surgery: Rectum And Anal Canal,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Surgery: Salivary Gland Neoplasms,20,MedMCQA:20,MCQA:20,records:20
Clinical Medicine,Anaesthesia: Depolarising Neuromuscular Blocking Agents,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Anatomy: Git 1,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,"Anatomy: Mesentry, Neurovascular Bundle",19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Anatomy: Umblicial Cord And Diaphragm,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Biochemistry: Chemistry Of Lipids,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Biochemistry: Fmge 2019,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Biochemistry: Haem Synth And Porphyrias,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Biochemistry: Membrane Structure And Function,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Biochemistry: Replication,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Forensic Medicine: Regional Injuries,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Gynaecology & Obstetrics: Endometriosis & H,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Gynaecology & Obstetrics: Fetus Placenta & Fetal Membrane,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Gynaecology & Obstetrics: Labour Iii,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Gynaecology & Obstetrics: Mullerian Abnormalities,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Gynaecology & Obstetrics: Neet Jan 2020,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Gynaecology & Obstetrics: Prenatal Diagnosis,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Gynaecology & Obstetrics: Specific Infections,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Medicine: Anemia And Rbc Disorders,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Medicine: Bleeding And Thrombotic Disorders,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Medicine: Blood Bank & Transfusion Therapy,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Medicine: Cushing Syndrome,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Medicine: Disorders Of Parathyroid Gland,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Medicine: General,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Medicine: Systemic Lupus Erythematous,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Microbiology: Spirochetes,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Ophthalmology: Diagnosis And Treatment Of Retina,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Ophthalmology: Investigation In Ophthalmology And Miscellaneous Topics,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Ophthalmology: Strabismus,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,"Ophthalmology: Vitreous Humour, Uveal Disorders",19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Orthopaedics: Dislocation Of Shoulder,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Orthopaedics: Metabolic Disorders Leading To Osteosclerosis,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Orthopaedics: Rheumatoid Arthritis,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Pathology: Disease Of Infancy & Childhood,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Pathology: Genetic Basics Of Carcinogenesis,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Pathology: Hemolytic Anemia,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Pathology: Hemolytic Anemias: Basic Concepts And Classification,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Pathology: Peripheral Nerve & Skeletal Muscles,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Pediatrics: Stomach And Intestines,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Pediatrics: Types Of Genetic Disorders,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Pharmacology: Anti Hiv Drugs,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Pharmacology: Jipmer 2017,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,"Social & Preventive Medicine: Air, Light, Sound, Housing, Radiation, Waste Disposal",19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Social & Preventive Medicine: Definition & Concepts,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Social & Preventive Medicine: Family Planning,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Social & Preventive Medicine: Fmge 2019,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,"Social & Preventive Medicine: Proteins, Fats, Rich Sources",19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Surgery: Heart & Pericardium,19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,"Surgery: Hepatic Tumors, Cysts, And Abscesses",19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Surgery: Miscellaneous ( Neck),19,MedMCQA:19,MCQA:19,records:19
Clinical Medicine,Anaesthesia: Modes Of Ventilation,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,"Anatomy: Brainstem, Cerebellum And Ventricles",18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Anatomy: Fmge 2018,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Anatomy: General Embryology 2,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Anatomy: Nerves Of Lower Extremity,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Anatomy: Nose,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Ent: Head & Neck Infections,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Ent: Rhinitis,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Gynaecology & Obstetrics: Antepaum Haemorrhage,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Gynaecology & Obstetrics: Management And Long Term Consequences,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Gynaecology & Obstetrics: Recent Papers Obst,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Medicine: Arrhythmias,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Medicine: Miscellaneous Q Bank,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,"Medicine: Pneumonia, Bronchiectasis, And Lung Abscess",18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Microbiology: Arboviruses,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Microbiology: Vibrio,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,"Microbiology: Virology ( Rna Virus Pa 1,2 & Miscellaneous Viruses)",18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Orthopaedics: Congenital Talips Eqino Varvs (C.T.E.V.),18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Orthopaedics: General,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Orthopaedics: Hand Injuries,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Pathology: Autoimmune Diseases,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Pathology: Clinical Aspects Of Neoplasia,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,"Pathology: Intestinal Polyps, Colon & Anal Cancer",18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Pathology: Jipmer 2018,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Pediatrics: Viral Infections,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Pharmacology: Opioids,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Pharmacology: Opioids And Alcohols,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Physiology: Digestion And Absorption,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Physiology: Fmge 2018,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,"Physiology: Glomerular Filtration, Renal Blood Flow, And Their Control",18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Physiology: Higher Functions,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Psychiatry: Somatoform Disorders,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Skin: C. Mycobacteria,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Social & Preventive Medicine: Allied Health Sciences,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Social & Preventive Medicine: Community Healthcare,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Social & Preventive Medicine: Levels Of Prevention Of Disease,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,"Social & Preventive Medicine: Obstetric Care In Rch: Visits, Ifa, Tt, Mch Indicators",18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Social & Preventive Medicine: Other Nh Ps,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Social & Preventive Medicine: Vitamins And Nutritional Deficiencies,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Surgery: Abdominal Injury,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Surgery: Prostate Cancer,18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,"Surgery: Robotics, Laparoscopy And Bariatric Surgery",18,MedMCQA:18,MCQA:18,records:18
Clinical Medicine,Anaesthesia: Anaesthesia Q Bank,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Anatomy: Bones Joints And Ligaments,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,"Anatomy: Bronchopulmonary Segments, Embryonic Veins",17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Anatomy: Ear,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Anatomy: Pelvis And Perineum 2,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,"Anatomy: Pharynx, Larynx And Trachea And Cranial Nerves 3,4,6",17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Anatomy: Substance Abuse,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Biochemistry: Dnb 2018,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Biochemistry: Enzyme Kinetics,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Gynaecology & Obstetrics: Gynaecological Anatomy,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Gynaecology & Obstetrics: Jipmer 2018,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Medicine: Emergency Clinical Scenario,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Medicine: Fmge 2017,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Medicine: Hea Sounds,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Medicine: Miscellaneous (C.N.S.),17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Medicine: Platelet & Coagulation Disorders,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,"Medicine: Sickle Cell Disease, G6 Pd Deficiency And Other Hemolytic Anemia",17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Microbiology: Helminthology,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Ophthalmology: Drugs,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Ophthalmology: Techniques Of Ocular Examination And Diagnostic Tests,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Ophthalmology: Vascular Disorders,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Orthopaedics: Anatomy And Physiology Of Bone And Fracture Healing,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Orthopaedics: Neuromuscular Disorders,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Pathology: Miscellaneous ( Blood Vessels),17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Pathology: Pancreas,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Pediatrics: Developmental Behavioral Screening And Surveillance,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Pediatrics: Hemolytic Anemia,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Pediatrics: Impoant Motor Milestones,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Pediatrics: Neoplastic Disorders Of Wb Cs,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Pediatrics: Nephropathy,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Pharmacology: Anti Viral Drugs,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Physiology: Body Fluid Compaments,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Physiology: Sensory System,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Radiology: Genitourinary Radiology,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,"Social & Preventive Medicine: Disease Causation, Measurements, Milestones",17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Surgery: Miscellaneous ( Small & Large Intestine),17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Surgery: Pediatric Surgery,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Surgery: Prostate And Seminal Vesicles,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,Surgery: Urinary Tract,17,MedMCQA:17,MCQA:17,records:17
Clinical Medicine,"Anatomy: Abdominal Wall , Inguinal And Femoral Region",16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Anatomy: Blood Vessels Of Thorax,16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Anatomy: General,16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Anatomy: Hepatobiliary System,16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Anatomy: Oral Cavity & Tongue,16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Anatomy: Osteology,16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Anatomy: Small And Large Intestine,16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Anatomy: Spinal Injuries,16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Anatomy: Urinary Tract,16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Biochemistry: Fmge 2018,16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Biochemistry: Oxidation Of Fatty Acids: Ketogenesis,16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Dental: Scabies And Other Infestations,16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Dental: Skin Tumors,16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Ent: Diagnostic & Operative Ent,16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Ent: Fmge 2019,16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,"Forensic Medicine: Impotency, Virginity, Pregnancy & Aboion",16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Forensic Medicine: Legal Sections,16,MedMCQA:16,MCQA:16,records:16
Clinical Medicine,Gynaecology & Obstetrics: Endometrial Carcinoma And Hysterectomy,16,MedMCQA:16,MCQA:16,records:16
